NODE,SUB_NODE,term,description,term_source,source_ref,  source_url,knowledge_links_URL,knowledge_links_Label,Synonyme,Synonyme_2
Unit,,curie,Ci,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000133,https://en.wikipedia.org/wiki/Curie,Wikipedia,,
Unit,,microcurie,µCi,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000146,https://en.wikipedia.org/wiki/Curie_(unit),Wikipedia,,
Unit,,colony forming unit per milliliter,cfu/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000213,,,,
Unit,,weber,Wb,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000226,https://en.wikipedia.org/wiki/Weber,Wikipedia,,
Unit,,kilogram per mole,kg/mol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000087,,,,
Unit,,microgray,µGy,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000141,https://en.wikipedia.org/wiki/Gray_(unit),Wikipedia,,
Unit,,parts per hundred,pph,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000167,https://en.wikipedia.org/wiki/Parts-per_notation,Wikipedia,,
Unit,,micromole per liter,µmol/L,EXTERNAL,UO,http://www.ebi.ac.uk/efo/EFO_0002901,,,,
Unit,,microgram per gram,ug/g,EXTERNAL,UO,http://purl.org/twc/HHEAR_00009,,,,
Unit,,dalton,Da,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000221,https://en.wikipedia.org/wiki/Dalton,Wikipedia,,
Unit,,kilobyte,kB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000234,https://en.wikipedia.org/wiki/Kilobyte,Wikipedia,,
Unit,,millivolt,mV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000247,https://en.wikipedia.org/wiki/Volt,Wikipedia,,
Unit,,square millimeter,mm2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000082,https://en.wikipedia.org/wiki/Square_metre,Wikipedia,,
Unit,,microgram per liter,µg/L,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000301,,,,
Unit,,centiRay,cR,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000327,,,,
Unit,,watt per steradian,W/sr,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000162,,,,
Unit,,gram per liter,g/L,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000175,,,,
Unit,,HOMA-IR,(mg/dL)*(µU/mL),EXTERNAL,UO,http://purl.org/twc/HHEAR_00004,https://en.wikipedia.org/wiki/Homeostatic_model_assessment,Wikipedia,,
Unit,,milligram per deciliter,mg/dl,EXTERNAL,UO,http://www.ebi.ac.uk/efo/EFO_0004374,,,,
Unit,,pixels per inch,p/in,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000242,https://en.wikipedia.org/wiki/Pixel_density,Wikipedia,,
Unit,,dyne per cm,dyn/cm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000255,,,,
